State,Stations,Time Frame,Year,State Trend Sign,Table Name,Dynamic State Trend,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Trend Magnitude,State Trends
NC,,Annual,2009,+,StateAvgTv2.txt,0.06,2020,1980,58.9,58.90,2009,0.057,0.057334495
NC,,Annual,1994,+,StateAvgTv2.txt,0.06,2020,1980,59,59.00,1994,0.057,0.057334495
NC,,Annual,2018,+,StateAvgTv2.txt,0.06,2020,1980,60.4,60.40,2018,0.057,0.057334495
NC,,Annual,1997,+,StateAvgTv2.txt,0.06,2020,1980,58.1,58.10,1997,0.057,0.057334495
NC,,Annual,1982,+,StateAvgTv2.txt,0.06,2020,1980,58.6,58.60,1982,0.057,0.057334495
NC,,Annual,2014,+,StateAvgTv2.txt,0.06,2020,1980,58.3,58.30,2014,0.057,0.057334495
NC,,Annual,2019,+,StateAvgTv2.txt,0.06,2020,1980,61.3,61.30,2019,0.057,0.057334495
NC,,Annual,2000,+,StateAvgTv2.txt,0.06,2020,1980,58.4,58.40,2000,0.057,0.057334495
NC,,Annual,1999,+,StateAvgTv2.txt,0.06,2020,1980,59.7,59.70,1999,0.057,0.057334495
NC,,Annual,2016,+,StateAvgTv2.txt,0.06,2020,1980,60.8,60.80,2016,0.057,0.057334495
NC,,Annual,2010,+,StateAvgTv2.txt,0.06,2020,1980,59,59.00,2010,0.057,0.057334495
NC,,Annual,1987,+,StateAvgTv2.txt,0.06,2020,1980,58.5,58.50,1987,0.057,0.057334495
NC,,Annual,2017,+,StateAvgTv2.txt,0.06,2020,1980,61,61.00,2017,0.057,0.057334495
NC,,Annual,1990,+,StateAvgTv2.txt,0.06,2020,1980,61.1,61.10,1990,0.057,0.057334495
NC,,Annual,2011,+,StateAvgTv2.txt,0.06,2020,1980,60.4,60.40,2011,0.057,0.057334495
NC,,Annual,1993,+,StateAvgTv2.txt,0.06,2020,1980,58.7,58.70,1993,0.057,0.057334495
NC,,Annual,1996,+,StateAvgTv2.txt,0.06,2020,1980,57.8,57.80,1996,0.057,0.057334495
NC,,Annual,2012,+,StateAvgTv2.txt,0.06,2020,1980,60.7,60.70,2012,0.057,0.057334495
NC,,Annual,1980,+,StateAvgTv2.txt,0.06,2020,1980,57.9,57.90,1980,0.057,0.057334495
NC,,Annual,2005,+,StateAvgTv2.txt,0.06,2020,1980,59.4,59.40,2005,0.057,0.057334495
NC,,Annual,1983,+,StateAvgTv2.txt,0.06,2020,1980,57.8,57.80,1983,0.057,0.057334495
NC,,Annual,1991,+,StateAvgTv2.txt,0.06,2020,1980,60.2,60.20,1991,0.057,0.057334495
NC,,Annual,2003,+,StateAvgTv2.txt,0.06,2020,1980,58.7,58.70,2003,0.057,0.057334495
NC,,Annual,1992,+,StateAvgTv2.txt,0.06,2020,1980,58.2,58.20,1992,0.057,0.057334495
NC,,Annual,2015,+,StateAvgTv2.txt,0.06,2020,1980,60.5,60.50,2015,0.057,0.057334495
NC,,Annual,2004,+,StateAvgTv2.txt,0.06,2020,1980,59.3,59.30,2004,0.057,0.057334495
NC,,Annual,1984,+,StateAvgTv2.txt,0.06,2020,1980,58.6,58.60,1984,0.057,0.057334495
NC,,Annual,2020,+,StateAvgTv2.txt,0.06,2020,1980,60.9,60.90,2020,0.057,0.057334495
NC,,Annual,1998,+,StateAvgTv2.txt,0.06,2020,1980,60.8,60.80,1998,0.057,0.057334495
NC,,Annual,1988,+,StateAvgTv2.txt,0.06,2020,1980,57.3,57.30,1988,0.057,0.057334495
NC,,Annual,1991,+,StateAvgMinT.txt,0.06,2020,1980,49.3,,,0.057,0.057334495
NC,,Annual,1991,+,StateAvgMaxT.txt,0.06,2020,1980,71.1,,,0.057,0.057334495
NC,,Annual,2003,+,StateAvgMinT.txt,0.06,2020,1980,48.3,,,0.057,0.057334495
NC,,Annual,2003,+,StateAvgMaxT.txt,0.06,2020,1980,69.2,,,0.057,0.057334495
NC,,Annual,2011,+,StateAvgMinT.txt,0.06,2020,1980,49,,,0.057,0.057334495
NC,,Annual,2011,+,StateAvgMaxT.txt,0.06,2020,1980,71.8,,,0.057,0.057334495
NC,,Annual,1987,+,StateAvgMinT.txt,0.06,2020,1980,47.2,,,0.057,0.057334495
NC,,Annual,1987,+,StateAvgMaxT.txt,0.06,2020,1980,69.7,,,0.057,0.057334495
NC,,Annual,1983,+,StateAvgMinT.txt,0.06,2020,1980,46.7,,,0.057,0.057334495
NC,,Annual,1983,+,StateAvgMaxT.txt,0.06,2020,1980,69,,,0.057,0.057334495
NC,,Annual,2004,+,StateAvgMinT.txt,0.06,2020,1980,48.8,,,0.057,0.057334495
NC,,Annual,2004,+,StateAvgMaxT.txt,0.06,2020,1980,69.9,,,0.057,0.057334495
NC,,Annual,2008,+,StateAvgMinT.txt,0.06,2020,1980,47.9,,,0.057,0.057334495
NC,,Annual,2008,+,StateAvgMaxT.txt,0.06,2020,1980,70.7,,,0.057,0.057334495
NC,,Annual,1996,+,StateAvgMinT.txt,0.06,2020,1980,46.9,,,0.057,0.057334495
NC,,Annual,1996,+,StateAvgMaxT.txt,0.06,2020,1980,68.6,,,0.057,0.057334495
NC,,Annual,2016,+,StateAvgMinT.txt,0.06,2020,1980,50,,,0.057,0.057334495
NC,,Annual,2016,+,StateAvgMaxT.txt,0.06,2020,1980,71.7,,,0.057,0.057334495
NC,,Annual,1997,+,StateAvgMinT.txt,0.06,2020,1980,46.8,,,0.057,0.057334495
NC,,Annual,1997,+,StateAvgMaxT.txt,0.06,2020,1980,69.4,,,0.057,0.057334495
NC,,Annual,2006,+,StateAvgMinT.txt,0.06,2020,1980,48.3,,,0.057,0.057334495
NC,,Annual,2006,+,StateAvgMaxT.txt,0.06,2020,1980,71.3,,,0.057,0.057334495
NC,,Annual,1993,+,StateAvgMinT.txt,0.06,2020,1980,47.6,,,0.057,0.057334495
NC,,Annual,1993,+,StateAvgMaxT.txt,0.06,2020,1980,69.8,,,0.057,0.057334495
NC,,Annual,2018,+,StateAvgMinT.txt,0.06,2020,1980,50.2,,,0.057,0.057334495
NC,,Annual,2018,+,StateAvgMaxT.txt,0.06,2020,1980,70.7,,,0.057,0.057334495
NC,,Annual,1982,+,StateAvgMinT.txt,0.06,2020,1980,47.8,,,0.057,0.057334495
NC,,Annual,1982,+,StateAvgMaxT.txt,0.06,2020,1980,69.3,,,0.057,0.057334495
NC,,Annual,2013,+,StateAvgMinT.txt,0.06,2020,1980,48.2,,,0.057,0.057334495
NC,,Annual,2013,+,StateAvgMaxT.txt,0.06,2020,1980,68.9,,,0.057,0.057334495
NC,,Annual,1994,+,StateAvgMinT.txt,0.06,2020,1980,47.8,,,0.057,0.057334495
NC,,Annual,1994,+,StateAvgMaxT.txt,0.06,2020,1980,70.2,,,0.057,0.057334495
NC,,Annual,2005,+,StateAvgMinT.txt,0.06,2020,1980,48.5,,,0.057,0.057334495
NC,,Annual,2005,+,StateAvgMaxT.txt,0.06,2020,1980,70.3,,,0.057,0.057334495
NC,,Annual,2009,+,StateAvgMinT.txt,0.06,2020,1980,48.3,,,0.057,0.057334495
NC,,Annual,2009,+,StateAvgMaxT.txt,0.06,2020,1980,69.4,,,0.057,0.057334495
NC,,Annual,1995,+,StateAvgMinT.txt,0.06,2020,1980,47.6,,,0.057,0.057334495
