State,Stations,Time Frame,Year,State Trend Sign,Table Name,Dynamic State Trend,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Trend Magnitude,State Trends
NC,,Fall (SON),1988,+,StateAvgMinT.txt,1.99,2020,1980,46.266666667,,,1.99,0.049721254
NC,,Fall (SON),1988,+,StateAvgMaxT.txt,1.99,2020,1980,69.1,,,1.99,0.049721254
NC,,Fall (SON),1988,+,StateAvgTv2.txt,1.99,2020,1980,57.666666667,57.67,1988,1.99,0.049721254
NC,,Fall (SON),1984,+,StateAvgMinT.txt,1.99,2020,1980,48.333333333,,,1.99,0.049721254
NC,,Fall (SON),1984,+,StateAvgMaxT.txt,1.99,2020,1980,71.5,,,1.99,0.049721254
NC,,Fall (SON),1984,+,StateAvgTv2.txt,1.99,2020,1980,59.933333333,59.93,1984,1.99,0.049721254
NC,,Fall (SON),1997,+,StateAvgMinT.txt,1.99,2020,1980,47.433333333,,,1.99,0.049721254
NC,,Fall (SON),1997,+,StateAvgMaxT.txt,1.99,2020,1980,69.733333333,,,1.99,0.049721254
NC,,Fall (SON),1997,+,StateAvgTv2.txt,1.99,2020,1980,58.566666667,58.57,1997,1.99,0.049721254
NC,,Fall (SON),2010,+,StateAvgMinT.txt,1.99,2020,1980,48.733333333,,,1.99,0.049721254
NC,,Fall (SON),2010,+,StateAvgMaxT.txt,1.99,2020,1980,73.9,,,1.99,0.049721254
NC,,Fall (SON),2010,+,StateAvgTv2.txt,1.99,2020,1980,61.333333333,61.33,2010,1.99,0.049721254
NC,,Fall (SON),2009,+,StateAvgMinT.txt,1.99,2020,1980,50.333333333,,,1.99,0.049721254
NC,,Fall (SON),2009,+,StateAvgMaxT.txt,1.99,2020,1980,70.4,,,1.99,0.049721254
NC,,Fall (SON),2009,+,StateAvgTv2.txt,1.99,2020,1980,60.4,60.40,2009,1.99,0.049721254
NC,,Fall (SON),1983,+,StateAvgMinT.txt,1.99,2020,1980,48.2,,,1.99,0.049721254
NC,,Fall (SON),1983,+,StateAvgMaxT.txt,1.99,2020,1980,71.466666667,,,1.99,0.049721254
NC,,Fall (SON),1983,+,StateAvgTv2.txt,1.99,2020,1980,59.866666667,59.87,1983,1.99,0.049721254
NC,,Fall (SON),1993,+,StateAvgMinT.txt,1.99,2020,1980,48.8,,,1.99,0.049721254
NC,,Fall (SON),1993,+,StateAvgMaxT.txt,1.99,2020,1980,71.7,,,1.99,0.049721254
NC,,Fall (SON),1993,+,StateAvgTv2.txt,1.99,2020,1980,60.266666667,60.27,1993,1.99,0.049721254
NC,,Fall (SON),2016,+,StateAvgMinT.txt,1.99,2020,1980,51.566666667,,,1.99,0.049721254
NC,,Fall (SON),2016,+,StateAvgMaxT.txt,1.99,2020,1980,74.533333333,,,1.99,0.049721254
NC,,Fall (SON),2016,+,StateAvgTv2.txt,1.99,2020,1980,63.066666667,63.07,2016,1.99,0.049721254
NC,,Fall (SON),1986,+,StateAvgTv2.txt,1.99,2020,1980,61.833333333,61.83,1986,1.99,0.049721254
NC,,Fall (SON),1986,+,StateAvgMinT.txt,1.99,2020,1980,52,,,1.99,0.049721254
NC,,Fall (SON),1986,+,StateAvgMaxT.txt,1.99,2020,1980,71.6,,,1.99,0.049721254
NC,,Fall (SON),1999,+,StateAvgMinT.txt,1.99,2020,1980,49,,,1.99,0.049721254
NC,,Fall (SON),1999,+,StateAvgMaxT.txt,1.99,2020,1980,72.133333333,,,1.99,0.049721254
NC,,Fall (SON),1999,+,StateAvgTv2.txt,1.99,2020,1980,60.6,60.60,1999,1.99,0.049721254
NC,,Fall (SON),2004,+,StateAvgMinT.txt,1.99,2020,1980,51.666666667,,,1.99,0.049721254
NC,,Fall (SON),2004,+,StateAvgMaxT.txt,1.99,2020,1980,71.4,,,1.99,0.049721254
NC,,Fall (SON),2004,+,StateAvgTv2.txt,1.99,2020,1980,61.533333333,61.53,2004,1.99,0.049721254
NC,,Fall (SON),2015,+,StateAvgMinT.txt,1.99,2020,1980,52,,,1.99,0.049721254
NC,,Fall (SON),2015,+,StateAvgMaxT.txt,1.99,2020,1980,72.033333333,,,1.99,0.049721254
NC,,Fall (SON),2015,+,StateAvgTv2.txt,1.99,2020,1980,62,62.00,2015,1.99,0.049721254
NC,,Fall (SON),2002,+,StateAvgTv2.txt,1.99,2020,1980,60.8,60.80,2002,1.99,0.049721254
NC,,Fall (SON),2002,+,StateAvgMinT.txt,1.99,2020,1980,51.366666667,,,1.99,0.049721254
NC,,Fall (SON),2002,+,StateAvgMaxT.txt,1.99,2020,1980,70.266666667,,,1.99,0.049721254
NC,,Fall (SON),1981,+,StateAvgTv2.txt,1.99,2020,1980,57.733333333,57.73,1981,1.99,0.049721254
NC,,Fall (SON),1981,+,StateAvgMinT.txt,1.99,2020,1980,45.2,,,1.99,0.049721254
NC,,Fall (SON),1981,+,StateAvgMaxT.txt,1.99,2020,1980,70.333333333,,,1.99,0.049721254
NC,,Fall (SON),2001,+,StateAvgTv2.txt,1.99,2020,1980,60.033333333,60.03,2001,1.99,0.049721254
NC,,Fall (SON),2001,+,StateAvgMinT.txt,1.99,2020,1980,46.933333333,,,1.99,0.049721254
NC,,Fall (SON),2001,+,StateAvgMaxT.txt,1.99,2020,1980,73.1,,,1.99,0.049721254
NC,,Fall (SON),1990,+,StateAvgMinT.txt,1.99,2020,1980,48.933333333,,,1.99,0.049721254
NC,,Fall (SON),1990,+,StateAvgMaxT.txt,1.99,2020,1980,73.966666667,,,1.99,0.049721254
NC,,Fall (SON),1990,+,StateAvgTv2.txt,1.99,2020,1980,61.466666667,61.47,1990,1.99,0.049721254
NC,,Fall (SON),2012,+,StateAvgMinT.txt,1.99,2020,1980,47.433333333,,,1.99,0.049721254
NC,,Fall (SON),2012,+,StateAvgMaxT.txt,1.99,2020,1980,69.633333333,,,1.99,0.049721254
NC,,Fall (SON),2012,+,StateAvgTv2.txt,1.99,2020,1980,58.533333333,58.53,2012,1.99,0.049721254
NC,,Fall (SON),1994,+,StateAvgMinT.txt,1.99,2020,1980,48.3,,,1.99,0.049721254
