State,Stations,Time Frame,Year,State Trend Sign,Table Name,Dynamic State Trend,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Trend Magnitude,State Trends
NC,,Spring (MAM),2009,+,StateAvgTv2.txt,0.06,2020,1980,58.5,58.50,2009,0.059,0.059454123
NC,,Spring (MAM),1994,+,StateAvgTv2.txt,0.06,2020,1980,58.466666667,58.47,1994,0.059,0.059454123
NC,,Spring (MAM),2018,+,StateAvgTv2.txt,0.06,2020,1980,58,58.00,2018,0.059,0.059454123
NC,,Spring (MAM),1997,+,StateAvgTv2.txt,0.06,2020,1980,57.1,57.10,1997,0.059,0.059454123
NC,,Spring (MAM),1982,+,StateAvgTv2.txt,0.06,2020,1980,58.266666667,58.27,1982,0.059,0.059454123
NC,,Spring (MAM),2014,+,StateAvgTv2.txt,0.06,2020,1980,57.733333333,57.73,2014,0.059,0.059454123
NC,,Spring (MAM),2019,+,StateAvgTv2.txt,0.06,2020,1980,60.7,60.70,2019,0.059,0.059454123
NC,,Spring (MAM),2000,+,StateAvgTv2.txt,0.06,2020,1980,59.8,59.80,2000,0.059,0.059454123
NC,,Spring (MAM),1999,+,StateAvgTv2.txt,0.06,2020,1980,57.4,57.40,1999,0.059,0.059454123
NC,,Spring (MAM),2016,+,StateAvgTv2.txt,0.06,2020,1980,60.233333333,60.23,2016,0.059,0.059454123
NC,,Spring (MAM),2010,+,StateAvgTv2.txt,0.06,2020,1980,60.1,60.10,2010,0.059,0.059454123
NC,,Spring (MAM),1987,+,StateAvgTv2.txt,0.06,2020,1980,57.233333333,57.23,1987,0.059,0.059454123
NC,,Spring (MAM),2017,+,StateAvgTv2.txt,0.06,2020,1980,60.533333333,60.53,2017,0.059,0.059454123
NC,,Spring (MAM),1990,+,StateAvgTv2.txt,0.06,2020,1980,59.066666667,59.07,1990,0.059,0.059454123
NC,,Spring (MAM),2011,+,StateAvgTv2.txt,0.06,2020,1980,59.866666667,59.87,2011,0.059,0.059454123
NC,,Spring (MAM),1993,+,StateAvgTv2.txt,0.06,2020,1980,56.333333333,56.33,1993,0.059,0.059454123
NC,,Spring (MAM),1996,+,StateAvgTv2.txt,0.06,2020,1980,56.666666667,56.67,1996,0.059,0.059454123
NC,,Spring (MAM),2012,+,StateAvgTv2.txt,0.06,2020,1980,62.5,62.50,2012,0.059,0.059454123
NC,,Spring (MAM),1980,+,StateAvgTv2.txt,0.06,2020,1980,57.066666667,57.07,1980,0.059,0.059454123
NC,,Spring (MAM),2005,+,StateAvgTv2.txt,0.06,2020,1980,56.033333333,56.03,2005,0.059,0.059454123
