State,Stations,Time Frame,Year,State Trend Sign,Table Name,Dynamic State Trend,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Trend Magnitude,State Trends
NC,,Summer (JJA),2009,+,StateAvgTv2.txt,0.04,2020,1980,75.9,75.90,2009,0.037,0.036753775
NC,,Summer (JJA),1994,+,StateAvgTv2.txt,0.04,2020,1980,75.7,75.70,1994,0.037,0.036753775
NC,,Summer (JJA),2018,+,StateAvgTv2.txt,0.04,2020,1980,77.1,77.10,2018,0.037,0.036753775
NC,,Summer (JJA),1997,+,StateAvgTv2.txt,0.04,2020,1980,74,74.00,1997,0.037,0.036753775
NC,,Summer (JJA),1982,+,StateAvgTv2.txt,0.04,2020,1980,74.533333333,74.53,1982,0.037,0.036753775
NC,,Summer (JJA),2014,+,StateAvgTv2.txt,0.04,2020,1980,75.066666667,75.07,2014,0.037,0.036753775
NC,,Summer (JJA),2019,+,StateAvgTv2.txt,0.04,2020,1980,76.733333333,76.73,2019,0.037,0.036753775
NC,,Summer (JJA),2000,+,StateAvgTv2.txt,0.04,2020,1980,75.133333333,75.13,2000,0.037,0.036753775
NC,,Summer (JJA),1999,+,StateAvgTv2.txt,0.04,2020,1980,76.266666667,76.27,1999,0.037,0.036753775
NC,,Summer (JJA),2016,+,StateAvgTv2.txt,0.04,2020,1980,78.2,78.20,2016,0.037,0.036753775
NC,,Summer (JJA),2010,+,StateAvgTv2.txt,0.04,2020,1980,78.933333333,78.93,2010,0.037,0.036753775
NC,,Summer (JJA),1987,+,StateAvgTv2.txt,0.04,2020,1980,77.133333333,77.13,1987,0.037,0.036753775
NC,,Summer (JJA),2017,+,StateAvgTv2.txt,0.04,2020,1980,76.1,76.10,2017,0.037,0.036753775
NC,,Summer (JJA),1990,+,StateAvgTv2.txt,0.04,2020,1980,76.066666667,76.07,1990,0.037,0.036753775
NC,,Summer (JJA),2011,+,StateAvgTv2.txt,0.04,2020,1980,78.233333333,78.23,2011,0.037,0.036753775
NC,,Summer (JJA),1993,+,StateAvgTv2.txt,0.04,2020,1980,77.133333333,77.13,1993,0.037,0.036753775
NC,,Summer (JJA),1996,+,StateAvgTv2.txt,0.04,2020,1980,74.933333333,74.93,1996,0.037,0.036753775
NC,,Summer (JJA),2012,+,StateAvgTv2.txt,0.04,2020,1980,76.066666667,76.07,2012,0.037,0.036753775
NC,,Summer (JJA),1980,+,StateAvgTv2.txt,0.04,2020,1980,76.133333333,76.13,1980,0.037,0.036753775
NC,,Summer (JJA),2005,+,StateAvgTv2.txt,0.04,2020,1980,76.933333333,76.93,2005,0.037,0.036753775
NC,,Summer (JJA),1983,+,StateAvgTv2.txt,0.04,2020,1980,75.866666667,75.87,1983,0.037,0.036753775
NC,,Summer (JJA),1991,+,StateAvgTv2.txt,0.04,2020,1980,76.2,76.20,1991,0.037,0.036753775
NC,,Summer (JJA),2003,+,StateAvgTv2.txt,0.04,2020,1980,75.466666667,75.47,2003,0.037,0.036753775
NC,,Summer (JJA),1992,+,StateAvgTv2.txt,0.04,2020,1980,74.2,74.20,1992,0.037,0.036753775
NC,,Summer (JJA),2015,+,StateAvgTv2.txt,0.04,2020,1980,77.3,77.30,2015,0.037,0.036753775
NC,,Summer (JJA),2004,+,StateAvgTv2.txt,0.04,2020,1980,75.2,75.20,2004,0.037,0.036753775
NC,,Summer (JJA),1984,+,StateAvgTv2.txt,0.04,2020,1980,74.933333333,74.93,1984,0.037,0.036753775
NC,,Summer (JJA),2020,+,StateAvgTv2.txt,0.04,2020,1980,76.8,76.80,2020,0.037,0.036753775
NC,,Summer (JJA),1998,+,StateAvgTv2.txt,0.04,2020,1980,76.9,76.90,1998,0.037,0.036753775
NC,,Summer (JJA),1988,+,StateAvgTv2.txt,0.04,2020,1980,75.7,75.70,1988,0.037,0.036753775
NC,,Summer (JJA),2019,+,StateAvgMinT.txt,0.04,2020,1980,66.5,,,0.037,0.036753775
NC,,Summer (JJA),2019,+,StateAvgMaxT.txt,0.04,2020,1980,86.966666667,,,0.037,0.036753775
NC,,Summer (JJA),2007,+,StateAvgMinT.txt,0.04,2020,1980,65.533333333,,,0.037,0.036753775
NC,,Summer (JJA),2007,+,StateAvgMaxT.txt,0.04,2020,1980,88.166666667,,,0.037,0.036753775
NC,,Summer (JJA),1985,+,StateAvgMinT.txt,0.04,2020,1980,64.233333333,,,0.037,0.036753775
NC,,Summer (JJA),1985,+,StateAvgMaxT.txt,0.04,2020,1980,84.966666667,,,0.037,0.036753775
NC,,Summer (JJA),2006,+,StateAvgMinT.txt,0.04,2020,1980,65.933333333,,,0.037,0.036753775
NC,,Summer (JJA),2006,+,StateAvgMaxT.txt,0.04,2020,1980,86.7,,,0.037,0.036753775
NC,,Summer (JJA),1996,+,StateAvgMinT.txt,0.04,2020,1980,64.833333333,,,0.037,0.036753775
NC,,Summer (JJA),1996,+,StateAvgMaxT.txt,0.04,2020,1980,85.066666667,,,0.037,0.036753775
NC,,Summer (JJA),2018,+,StateAvgMinT.txt,0.04,2020,1980,67.2,,,0.037,0.036753775
