State,Stations,Time Frame,Year,State Trend Sign,Table Name,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Percent Change,State Trend Line,State Trend Line Intercept,State Trends
NC,,Spring (MAM),2009,+,StateAvgPv2.txt,2020,1979,13.76,13.76,2009,0.11,12.158184647,-12.734056308,0.01
NC,,Spring (MAM),1994,+,StateAvgPv2.txt,2020,1979,11.86,11.86,1994,0.11,11.972329189,-12.734056308,0.01
NC,,Spring (MAM),2018,+,StateAvgPv2.txt,2020,1979,16.06,16.06,2018,0.11,12.269697922,-12.734056308,0.01
NC,,Spring (MAM),1997,+,StateAvgPv2.txt,2020,1979,11.31,11.31,1997,0.11,12.009500281,-12.734056308,0.01
NC,,Spring (MAM),1982,+,StateAvgPv2.txt,2020,1979,10.22,10.22,1982,0.11,11.823644823,-12.734056308,0.01
NC,,Spring (MAM),2014,+,StateAvgPv2.txt,2020,1979,13.14,13.14,2014,0.11,12.220136466,-12.734056308,0.01
NC,,Spring (MAM),2019,+,StateAvgPv2.txt,2020,1979,10.69,10.69,2019,0.11,12.282088285,-12.734056308,0.01
NC,,Spring (MAM),2000,+,StateAvgPv2.txt,2020,1979,11.03,11.03,2000,0.11,12.046671372,-12.734056308,0.01
NC,,Spring (MAM),1999,+,StateAvgPv2.txt,2020,1979,9.55,9.55,1999,0.11,12.034281009,-12.734056308,0.01
NC,,Spring (MAM),2016,+,StateAvgPv2.txt,2020,1979,10.49,10.49,2016,0.11,12.244917194,-12.734056308,0.01
NC,,Spring (MAM),2010,+,StateAvgPv2.txt,2020,1979,10.3,10.30,2010,0.11,12.170575011,-12.734056308,0.01
NC,,Spring (MAM),1987,+,StateAvgPv2.txt,2020,1979,11.44,11.44,1987,0.11,11.885596642,-12.734056308,0.01
NC,,Spring (MAM),1979,+,StateAvgPv2.txt,2020,1979,15.17,15.17,1979,0.11,11.786473732,-12.734056308,0.01
NC,,Spring (MAM),2017,+,StateAvgPv2.txt,2020,1979,16.09,16.09,2017,0.11,12.257307558,-12.734056308,0.01
NC,,Spring (MAM),1990,+,StateAvgPv2.txt,2020,1979,14.02,14.02,1990,0.11,11.922767734,-12.734056308,0.01
NC,,Spring (MAM),2011,+,StateAvgPv2.txt,2020,1979,12,12.00,2011,0.11,12.182965375,-12.734056308,0.01
NC,,Spring (MAM),1993,+,StateAvgPv2.txt,2020,1979,14.07,14.07,1993,0.11,11.959938826,-12.734056308,0.01
NC,,Spring (MAM),1996,+,StateAvgPv2.txt,2020,1979,11.56,11.56,1996,0.11,11.997109917,-12.734056308,0.01
NC,,Spring (MAM),2012,+,StateAvgPv2.txt,2020,1979,13.6,13.60,2012,0.11,12.195355738,-12.734056308,0.01
NC,,Spring (MAM),1980,+,StateAvgPv2.txt,2020,1979,14.78,14.78,1980,0.11,11.798864096,-12.734056308,0.01
NC,,Spring (MAM),2005,+,StateAvgPv2.txt,2020,1979,10.93,10.93,2005,0.11,12.108623192,-12.734056308,0.01
NC,,Spring (MAM),1983,+,StateAvgPv2.txt,2020,1979,16.14,16.14,1983,0.11,11.836035187,-12.734056308,0.01
NC,,Spring (MAM),1991,+,StateAvgPv2.txt,2020,1979,13.54,13.54,1991,0.11,11.935158098,-12.734056308,0.01
NC,,Spring (MAM),2003,+,StateAvgPv2.txt,2020,1979,19.83,19.83,2003,0.11,12.083842464,-12.734056308,0.01
NC,,Spring (MAM),1992,+,StateAvgPv2.txt,2020,1979,11.44,11.44,1992,0.11,11.947548462,-12.734056308,0.01
