State,Stations,Time Frame,Year,State Trend Sign,Table Name,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Percent Change,State Trend Line,State Trend Line Intercept,State Trends
NC,,Summer (JJA),2009,+,StateAvgPv2.txt,2020,1979,13.62,13.62,2009,0.37,15.177832512,-86.827835811,0.05
NC,,Summer (JJA),1994,+,StateAvgPv2.txt,2020,1979,16.83,16.83,1994,0.37,14.416217268,-86.827835811,0.05
NC,,Summer (JJA),2018,+,StateAvgPv2.txt,2020,1979,16.95,16.95,2018,0.37,15.634801658,-86.827835811,0.05
NC,,Summer (JJA),1997,+,StateAvgPv2.txt,2020,1979,11.59,11.59,1997,0.37,14.568540317,-86.827835811,0.05
NC,,Summer (JJA),1982,+,StateAvgPv2.txt,2020,1979,15.21,15.21,1982,0.37,13.806925073,-86.827835811,0.05
NC,,Summer (JJA),2014,+,StateAvgPv2.txt,2020,1979,14.65,14.65,2014,0.37,15.431704260,-86.827835811,0.05
NC,,Summer (JJA),2019,+,StateAvgPv2.txt,2020,1979,15.71,15.71,2019,0.37,15.685576007,-86.827835811,0.05
NC,,Summer (JJA),2000,+,StateAvgPv2.txt,2020,1979,14.9,14.90,2000,0.37,14.720863365,-86.827835811,0.05
NC,,Summer (JJA),1999,+,StateAvgPv2.txt,2020,1979,12.37,12.37,1999,0.37,14.670089016,-86.827835811,0.05
NC,,Summer (JJA),2016,+,StateAvgPv2.txt,2020,1979,13.99,13.99,2016,0.37,15.533252959,-86.827835811,0.05
NC,,Summer (JJA),2010,+,StateAvgPv2.txt,2020,1979,12.22,12.22,2010,0.37,15.228606861,-86.827835811,0.05
NC,,Summer (JJA),1987,+,StateAvgPv2.txt,2020,1979,11.74,11.74,1987,0.37,14.060796821,-86.827835811,0.05
NC,,Summer (JJA),1979,+,StateAvgPv2.txt,2020,1979,12.92,12.92,1979,0.37,13.654602024,-86.827835811,0.05
NC,,Summer (JJA),2017,+,StateAvgPv2.txt,2020,1979,14.34,14.34,2017,0.37,15.584027308,-86.827835811,0.05
NC,,Summer (JJA),1990,+,StateAvgPv2.txt,2020,1979,11.05,11.05,1990,0.37,14.213119869,-86.827835811,0.05
