YEAR,BARLEY_ACRES,BARLEY_$,BARLEY_BU  ,BARLEY_BU_ACRE,CORN_ACRES,CORN_$,CORN_BU  ,CORN_BU_ACRE,COTTON_ACRES,COTTON_$,COTTON_LB,COTTON_LB_ACRE,HAY_ACRES,HAY_$,HAY_T   ,HAY_T_ACRE,OATS_ACRES,OATS_$,OATS_BU  ,OATS_BU_ACRE,PEANUTS_ACRES,PEANUTS_$,PEANUTS_LB,PEANUTS_LB_ACRE,"PEPPERS, BELL_ACRES","PEPPERS, BELL_$","PEPPERS, BELL_CWT","PEPPERS, BELL_CWT_ACRE",SOYBEANS_ACRES,SOYBEANS_$,SOYBEANS_BU  ,SOYBEANS_BU_ACRE,SQUASH_ACRES,SQUASH_$,SQUASH_CWT,SQUASH_CWT_ACRE,SWEET_ACRES,SWEET_$,SWEET_CWT,SWEET_CWT_ACRE,TOBACCO_ACRES,TOBACCO_$,TOBACCO_LB,TOBACCO_LB_ACRE,WHEAT_ACRES,WHEAT_$,WHEAT_BU  ,WHEAT_BU_ACRE
1866,,,,,,,15912000,9.5,,,109000,124,,,,,,,2470000,13,,,,,,,,,,,,,,,,,,,,,16000,1568000,7840000,490,,,1800000,6
1867,,,,,,,19838000,11.5,,,162000,129,,,,,,,2400000,12,,,,,,,,,,,,,,,,,,,,,19000,1550000,9120000,480,,,2240000,7
1868,,,,,,,25650000,13.5,,,139000,162,,,,,,,3308000,13.5,,,,,,,,,,,,,,,,,,3263000,2016000,52,20000,1536000,9200000,460,,,2250000,6
1869,,,,,,,19000000,10,,,145000,139,,,,,,,3510000,13.5,,,,,,,,,,,,,,,,,,2706000,1691000,41,26000,1509000,11180000,430,,,2925000,7.5
1870,,,,,,,26245000,14.5,,,195000,180,,,,,,,3640000,13,,,,,,,,,,,,,,,,,,2967000,2435000,59,32000,2346000,16640000,520,,,2870000,7
1871,,,,,,,22885000,11.5,,,148000,147,,,,,,,2360000,8,,,,,,,,,,,,,,,,,,2427000,1963000,46,34000,1422000,13940000,410,,,1890000,4.5
1872,,,,,,,27300000,14,,,181000,152,,,,,,,4185000,13.5,,,,,,,,,,,,,,,,,,2323000,2323000,53,41000,2009000,20090000,490,,,3080000,7
1873,,,,,,,24310000,13,,,199000,138,,,,,,,4125000,12.5,,,,,,,,,,,,,,,,,,2646000,2426000,54,44000,1861000,20680000,470,,,2250000,5
1874,,,,,,,25480000,13,,,232000,169,,,,,,,3468000,9.5,,,,,,,,,,,,,,,,,,2694000,2429000,53,35000,2464000,15400000,440,,,3152000,6.5
1875,,,,,,,26865000,13.5,,,197000,135,,,,,,,4125000,11,,,,,,,,,,,,,,,,,,2775000,2587000,54,52000,2472000,25480000,490,,,3605000,7
1876,,,,,,,25625000,12.5,,,212000,136,,,,,,,4095000,10.5,,,,,,,,,,,,,,,,,,,2695000,54,29000,1239000,13920000,480,,,3210000,6
1877,,,,,,,29430000,13.5,,,264000,165,,,,,,,5188000,12.5,,,,,,,,,,,,,,,,,,,2721000,53,48000,1286000,22560000,470,,,4340000,7
1878,,,,,,,27960000,12,,,215000,124,,,,,,,5280000,11,,,,,,,,,,,,,,,,,,,2828000,53,49000,1352000,22540000,460,,,3150000,5
1879,,,,,,,28121000,12.2,,,390000,198,,,,,,,5650000,11.3,,,,,,,,,,,,,,,,,,2249000,2524000,50,57000,1883000,26904000,472,,,3429000,5.3
1880,,,,,,,30510000,13.5,,,428000,201,,,,,,,4208000,8.5,,,,,,,,,,,,,,,,,,2340000,2860000,55,67000,2774000,30820000,460,,,3420000,4.5
1881,,,,,,,20995000,9.5,,,380000,161,,,,,,,4850000,10,,,,,,,,,,,,,,,,,,,2116000,41,63000,3062000,22680000,360,,,3250000,5
1882,,,,,,,31920000,14,,,463000,228,,,,,,,7280000,14,,,,,,,,,,,,,,,,,,2479000,3029000,56,75000,4500000,37500000,500,,,4875000,6.5
1883,,,,,,,23000000,10,,,399000,186,,,,,,,5198000,10.5,,,,,,,,,,,,,,,,,,2241000,2680000,48,67000,2848000,22780000,340,,,3800000,5
1884,,,,,,,29062000,12.5,,,404000,184,,,,,,,5808000,11.5,,,,,,,,,,,,,,,,,,2334000,2791000,47,83000,4009000,34860000,420,,,5200000,6.5
1885,,,,,,,25850000,11,,,407000,179,,,,,,,4655000,9.5,,,,,,,,,,,,,,,,,,2326000,3120000,51,95000,4229000,39900000,420,,,2840000,4
1886,,,,,,,25200000,10.5,,,369000,160,,,,,,,5720000,11,,,,,,,,,,,,,,,,,,2505000,3360000,52,101000,3550000,37370000,370,,,3218000,4.5
1887,,,,,,,32110000,13,,,446000,191,,,,,,,6360000,12,,,,,,,,,,,,,,,,,,2719000,3478000,51,90000,3645000,36450000,405,,,5180000,7
1888,,,,,,,25935000,10.5,,,365000,157,,,,,,,4988000,9.5,,,,,,,,,,,,,,,,,,2829000,3619000,52,92000,2576000,32200000,350,,,3932000,5.5
1889,,,,,,,25833000,10.9,,,336000,140,,,,,,,5691000,10.5,,,,,,,,,,,,,,,,,,2446000,3128000,43,97000,4001000,36375000,375,,,4672000,6.4
1890,,,,,,,31460000,13,,,489000,198,,,,,,,4680000,9,,,,,,,,,,,,,,,,,,2605000,3582000,48,115000,6198000,56350000,490,,,3218000,4.5
1891,,,,,,,31590000,13,,,416000,179,,,,,,,5092000,10.5,,,,,,,,,,,,,,,,,,2673000,3341000,45,135000,5443000,56700000,420,,,5110000,7
1892,,,,,,,28600000,11,,,302000,161,,,,,,,5880000,12,,,,,,,,,,,,,,,,,,,3052000,41,155000,6479000,68200000,440,,,6000000,8
1893,,,,,,,28710000,11,,,400000,193,,,,,,,6440000,14,,,,,,,,,,,,,,,,,,,3302000,48,165000,5544000,69300000,420,,,6502000,8.5
1894,,,,,,,39750000,15,,,475000,214,,,,,,,4730000,11,,,,,,,,,,,,,,,,,,2180000,3241000,46,146000,7884000,87600000,600,,,3675000,5
1895,,,,,,,38080000,14,,,398000,188,,,,,,,5530000,14,,,,,,,,,,,,,,,,,,2602000,2650000,40,163000,9372000,101875000,625,,,5840000,8
1896,,,,,,,33500000,12.5,,,522000,213,,,,,,,4380000,12,,,,,,,,,,,,,,,,,,1632000,2805000,41,180000,6624000,82800000,460,,,4725000,7
1897,,,,,,,35640000,13.5,,,647000,254,,,,,,,4712000,14.5,,,,,,,,,,,,,,,,,,2027000,3280000,49,170000,7378000,105400000,620,,,5992000,8.5
1898,,,,,,,38860000,14.5,,,635000,271,,,,,,,4340000,14,,,,,,,,,,,,,,,,,,,3150000,46,188000,9099000,113740000,605,,,6630000,8.5
1899,,,,,,,34893000,12.8,,,440000,209,,,,,,,2981000,11,,,,,,,,,,,,,,,,,,2318000,3188000,46,203000,8414000,127484000,628,,,4333000,5.8
1900,,,,,,,32400000,12,,,477000,230,,,,,,,3510000,13.5,,,,,,,,,,,,,,,,,,1793000,2348000,34,205000,8323000,118900000,580,,,6800000,8.5
1901,,,,,,,29555000,11.5,,,416000,180,,,,,,,3640000,14,,,,,,,,,,,,,,,,,,2874000,3436000,48,210000,11340000,126000000,600,,,6400000,8
1902,,,,,,,36045000,13.5,,,550000,245,,,,,,,3000000,12,,,,,,,,,,,,,,,,,,2948000,3524000,49,235000,10692000,152750000,650,,,3750000,5
1903,,,,,,,35560000,14,,,529000,217,,,,,,,2640000,11,,,,,,,,,,,,,,,,,,3308000,4042000,54,240000,9374000,148800000,620,,,3675000,5
1904,,,,,,,38100000,15,,,704000,247,,,,,,,3375000,15,,,,,,,,,,,,,,,,,,3850000,4235000,55,172000,9467000,110080000,640,,,4880000,8
1905,,,,,,,33885000,13.5,,,619000,238,,,,,,,3450000,15,,,,,,,,,,,,,,,,,,3959000,4633000,59,170000,9275000,105400000,620,,,3600000,6
1906,,,,,,,37350000,15,,,579000,208,,,,,,,3525000,15,,,,,,,,,,,,,,,,,,3720000,4092000,51,160000,9600000,96000000,600,,,4125000,7.5
1907,,,,,,,37820000,15.5,,,605000,222,,,,,,,3525000,15,,,,,,,,,,,,,,,,,,4831000,4428000,53,175000,12416000,112875000,645,,,3840000,8
1908,,,,,,,35380000,14.5,,,647000,259,,,,,,,3220000,14,,,,,,,,,,,,,,,,,,4452000,4620000,55,200000,13545000,129000000,645,,,3600000,8
1909,,,,,,,34086000,13.8,1235000,,601000,239,520000,,448000,0.86,,,2964000,13,195000,,121500000,675,,,,,,,,,,,,,,5780000,4675000,55,222000,13202000,138972000,626,511000,,3815000,7.6
1910,,,,,,,44100000,17.5,1274000,,706000,269,520000,,482000,0.93,,,3255000,15.5,165000,,136400000,880,,,,,,,,,,,,,,5624000,4759000,57,225000,14548000,137250000,610,554000,,5082000,9.5
1911,,,,,,,40260000,16.5,1529000,,1076000,342,515000,,398000,0.77,,,2665000,13,165000,,119350000,770,,,,,,,,,,,,,,5544000,3812000,50,176000,12556000,108240000,615,551000,,4770000,9
1912,,,,,,,36600000,15,1393000,,865000,299,518000,,503000,0.97,,,2868000,15.5,160000,,122250000,815,,,,,,,,,,,,,,5472000,3960000,53,220000,22000000,137500000,625,522000,,3788000,7.5
1913,,,,,,,42840000,18,1392000,,792000,274,544000,,526000,0.97,,,2970000,16.5,150000,,126000000,900,,,,,,,,,,,,,,5888000,4436000,60,260000,32227000,174200000,670,518000,,5050000,10
1914,,,,,,,42365000,18.5,1379000,,930000,325,547000,,448000,0.82,,,2538000,14.5,165000,,129425000,835,,,,,,,,,,,,,,5405000,3812000,54,265000,19047000,165625000,625,524000,,5355000,10.5
1915,,,,,,,45030000,19,1216000,,699000,278,543000,,624000,1.15,,,3240000,18,185000,,140180000,815,,,,,,,,,,,,,,5905000,4640000,63,320000,23475000,209600000,655,557000,,5082000,9.5
1916,,,,,,,37620000,16.5,1499000,,654000,213,536000,,466000,0.87,,,2625000,15,205000,,177450000,910,,,,,,,,,,,,,,6723000,4455000,59,320000,40640000,203200000,635,538000,,4770000,9
1917,,,,,,,50200000,20,1484000,,616000,203,531000,,515000,0.97,,,2295000,13.5,163000,,145350000,950,,,,,,,,,,,,,,9603000,4633000,59,380000,81994000,260300000,685,611000,,4950000,9
1918,,,,,,,47190000,19.5,1457000,,896000,296,583000,,592000,1.02,,,2538000,14.5,145000,,139400000,1025,,,,,,,,,,,,,,11411000,4389000,63,460000,113022000,322000000,700,641000,,4396000,7
1919,,,,,,,41598000,18,1372000,,828000,293,633000,,599000,0.95,,,2380000,14,135000,,141624000,1124,,,,,,,,,,,,,,12760000,4414000,59,524000,157778000,320688000,612,627000,,4968000,8
1920,,,,,,,45038000,20.5,1443000,,923000,310,601000,,585000,0.97,,,2343000,16.5,135000,,127386000,1011,,,,,,,,,,,,,,9261000,3718000,57,625000,88530000,425625000,681,528000,,5428000,10.5
1921,,,,,,,39288000,17.5,1281000,,774000,292,628000,,696000,1.11,,,3420000,18,150000,,142410000,1010,,,,,,,,,,,,,,7700000,3416000,50,417000,60788000,248115000,595,463000,,3178000,7
1922,,,,,,,38887000,18.5,1464000,,849000,283,753000,,839000,1.11,,,3264000,17,155000,,130500000,900,,,,,,,,,,,,,,8299000,4475000,62,447000,74984000,272670000,610,435000,,3424000,8
1923,,,,,,,43091000,20.5,1484000,,1015000,328,732000,,826000,1.13,,,3690000,18,170000,,176000000,1100,,,,,,,,,,,,,,7762000,3812000,58,548000,82581000,398944000,728,404000,,3960000,10
1924,,,90000,18,,,31984000,16,1786000,,821000,226,711000,,575000,0.81,,,3360000,16,205000,,180500000,950,,,,,120000,,1162000,15.5,,,,,,7074000,2970000,50,477000,63064000,279045000,585,363000,,3795000,11
1925,,,126000,18,,,34748000,17,1825000,,1097000,291,636000,,404000,0.64,,,3193000,15.5,210000,,218500000,1150,,,,,140000,,1160000,14.5,,,,,65000,8366000,3218000,50,540000,84188000,375840000,696,329000,,3402000,10.5
1926,9000,,180000,20,2110000,,36846000,18,1817000,,1208000,320,673000,,559000,0.83,,,2850000,15,209000,,200850000,1030,,,,,160000,,1062000,12.5,,,,,,6880000,3153000,50,550000,97053000,380600000,692,381000,,4290000,11.5
1927,11000,,204000,18.5,2088000,,38266000,19,1581000,,858000,262,767000,,623000,0.81,,,2588000,15.5,234000,,220500000,1050,,,,,140000,,1200000,15,,,,,,7866000,4326000,63,642000,100820000,484710000,755,392000,,3610000,9.5
