YEAR,BARLEY_ACRES,BARLEY_$,BARLEY_BU  ,BARLEY_BU_ACRE,BARLEY_$_ACRE,BARLEY_CALC_ACRES,CORN_ACRES,CORN_$,CORN_BU  ,CORN_BU_ACRE,CORN_$_ACRE,CORN_CALC_ACRES,COTTON_ACRES,COTTON_$,COTTON_LB,COTTON_LB_ACRE,COTTON_$_ACRE,COTTON_CALC_ACRES,HAY_ACRES,HAY_$,HAY_T   ,HAY_T_ACRE,HAY_$_ACRE,HAY_CALC_ACRES,OATS_ACRES,OATS_$,OATS_BU  ,OATS_BU_ACRE,OATS_$_ACRE,OATS_CALC_ACRES,PEANUTS_ACRES,PEANUTS_$,PEANUTS_LB,PEANUTS_LB_ACRE,PEANUTS_$_ACRE,PEANUTS_CALC_ACRES,"PEPPERS, BELL_ACRES","PEPPERS, BELL_$","PEPPERS, BELL_CWT","PEPPERS, BELL_CWT_ACRE","PEPPERS,BELL_$_ACRE",PEPPERS_CALC_ACRES,SOYBEANS_ACRES,SOYBEANS_$,SOYBEANS_BU  ,SOYBEANS_BU_ACRE,SOYBEANS_$_ACRE,SOYBEANS_CALC_ACRES,SQUASH_ACRES,SQUASH_$,SQUASH_CWT,SQUASH_CWT_ACRE,SQUASH_$_ACRE,SQUASH_CALC_ACRES,SWEET_ACRES,SWEET_$,SWEET_CWT,SWEET_CWT_ACRE,SWEET_$_ACRE,SWEET_CALC_ACRES,TOBACCO_ACRES,TOBACCO_$,TOBACCO_LB,TOBACCO_LB_ACRE,TOBACCO_$_ACRE,TOBACCO_CALC_ACRES,WHEAT_ACRES,WHEAT_$,WHEAT_BU  ,WHEAT_BU_ACRE,WHEAT_$_ACRE,WHEAT_CALC_ACRES
1866,,,,,,,,,15912000,9.5,,1674947.368,,,109000,124,,879.0322581,,,,,,,,,2470000,13,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,1568000,7840000,490,98,16000,,,1800000,6,,300000
1867,,,,,,,,,19838000,11.5,,1725043.478,,,162000,129,,1255.813953,,,,,,,,,2400000,12,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,1550000,9120000,480,81.57894737,19000,,,2240000,7,,320000
1868,,,,,,,,,25650000,13.5,,1900000,,,139000,162,,858.0246914,,,,,,,,,3308000,13.5,,245037.037,,,,,,,,,,,,,,,,,,,,,,,,,,3263000,2016000,52,84.16468254,38769.23077,20000,1536000,9200000,460,76.8,20000,,,2250000,6,,375000
1869,,,,,,,,,19000000,10,,1900000,,,145000,139,,1043.165468,,,,,,,,,3510000,13.5,,260000,,,,,,,,,,,,,,,,,,,,,,,,,,2706000,1691000,41,65.6096984,41243.90244,26000,1509000,11180000,430,58.03846154,26000,,,2925000,7.5,,390000
1870,,,,,,,,,26245000,14.5,,1810000,,,195000,180,,1083.333333,,,,,,,,,3640000,13,,280000,,,,,,,,,,,,,,,,,,,,,,,,,,2967000,2435000,59,71.89034908,41271.18644,32000,2346000,16640000,520,73.3125,32000,,,2870000,7,,410000
1871,,,,,,,,,22885000,11.5,,1990000,,,148000,147,,1006.802721,,,,,,,,,2360000,8,,295000,,,,,,,,,,,,,,,,,,,,,,,,,,2427000,1963000,46,56.87315334,42673.91304,34000,1422000,13940000,410,41.82352941,34000,,,1890000,4.5,,420000
1872,,,,,,,,,27300000,14,,1950000,,,181000,152,,1190.789474,,,,,,,,,4185000,13.5,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,2323000,2323000,53,53,43830.18868,41000,2009000,20090000,490,49,41000,,,3080000,7,,440000
1873,,,,,,,,,24310000,13,,1870000,,,199000,138,,1442.028986,,,,,,,,,4125000,12.5,,330000,,,,,,,,,,,,,,,,,,,,,,,,,,2646000,2426000,54,58.89694971,44925.92593,44000,1861000,20680000,470,42.29545455,44000,,,2250000,5,,450000
1874,,,,,,,,,25480000,13,,1960000,,,232000,169,,1372.781065,,,,,,,,,3468000,9.5,,365052.6316,,,,,,,,,,,,,,,,,,,,,,,,,,2694000,2429000,53,58.7822149,45830.18868,35000,2464000,15400000,440,70.4,35000,,,3152000,6.5,,484923.0769
1875,,,,,,,,,26865000,13.5,,1990000,,,197000,135,,1459.259259,,,,,,,,,4125000,11,,375000,,,,,,,,,,,,,,,,,,,,,,,,,,2775000,2587000,54,57.92423657,47907.40741,52000,2472000,25480000,490,47.53846154,52000,,,3605000,7,,515000
1876,,,,,,,,,25625000,12.5,,2050000,,,212000,136,,1558.823529,,,,,,,,,4095000,10.5,,390000,,,,,,,,,,,,,,,,,,,,,,,,,,,2695000,54,,49907.40741,29000,1239000,13920000,480,42.72413793,29000,,,3210000,6,,535000
1877,,,,,,,,,29430000,13.5,,2180000,,,264000,165,,1600,,,,,,,,,5188000,12.5,,415040,,,,,,,,,,,,,,,,,,,,,,,,,,,2721000,53,,51339.62264,48000,1286000,22560000,470,26.79166667,48000,,,4340000,7,,620000
1878,,,,,,,,,27960000,12,,2330000,,,215000,124,,1733.870968,,,,,,,,,5280000,11,,480000,,,,,,,,,,,,,,,,,,,,,,,,,,,2828000,53,,53358.49057,49000,1352000,22540000,460,27.59183673,49000,,,3150000,5,,630000
1879,,,,,,,,,28121000,12.2,,2305000,,,390000,198,,1969.69697,,,,,,,,,5650000,11.3,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,2249000,2524000,50,44.55229794,50480,57000,1883000,26904000,472,33.03508772,57000,,,3429000,5.3,,646981.1321
1880,,,,,,,,,30510000,13.5,,2260000,,,428000,201,,2129.353234,,,,,,,,,4208000,8.5,,495058.8235,,,,,,,,,,,,,,,,,,,,,,,,,,2340000,2860000,55,45,52000,67000,2774000,30820000,460,41.40298507,67000,,,3420000,4.5,,760000
1881,,,,,,,,,20995000,9.5,,2210000,,,380000,161,,2360.248447,,,,,,,,,4850000,10,,485000,,,,,,,,,,,,,,,,,,,,,,,,,,,2116000,41,,51609.7561,63000,3062000,22680000,360,48.6031746,63000,,,3250000,5,,650000
1882,,,,,,,,,31920000,14,,2280000,,,463000,228,,2030.701754,,,,,,,,,7280000,14,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,2479000,3029000,56,45.8316276,54089.28571,75000,4500000,37500000,500,60,75000,,,4875000,6.5,,750000
1883,,,,,,,,,23000000,10,,2300000,,,399000,186,,2145.16129,,,,,,,,,5198000,10.5,,495047.619,,,,,,,,,,,,,,,,,,,,,,,,,,2241000,2680000,48,40.13731343,55833.33333,67000,2848000,22780000,340,42.50746269,67000,,,3800000,5,,760000
1884,,,,,,,,,29062000,12.5,,2324960,,,404000,184,,2195.652174,,,,,,,,,5808000,11.5,,505043.4783,,,,,,,,,,,,,,,,,,,,,,,,,,2334000,2791000,47,39.30419205,59382.97872,83000,4009000,34860000,420,48.30120482,83000,,,5200000,6.5,,800000
1885,,,,,,,,,25850000,11,,2350000,,,407000,179,,2273.743017,,,,,,,,,4655000,9.5,,490000,,,,,,,,,,,,,,,,,,,,,,,,,,2326000,3120000,51,38.02115385,61176.47059,95000,4229000,39900000,420,44.51578947,95000,,,2840000,4,,710000
1886,,,,,,,,,25200000,10.5,,2400000,,,369000,160,,2306.25,,,,,,,,,5720000,11,,520000,,,,,,,,,,,,,,,,,,,,,,,,,,2505000,3360000,52,38.76785714,64615.38462,101000,3550000,37370000,370,35.14851485,101000,,,3218000,4.5,,715111.1111
1887,,,,,,,,,32110000,13,,2470000,,,446000,191,,2335.078534,,,,,,,,,6360000,12,,530000,,,,,,,,,,,,,,,,,,,,,,,,,,2719000,3478000,51,39.87032777,68196.07843,90000,3645000,36450000,405,40.5,90000,,,5180000,7,,740000
1888,,,,,,,,,25935000,10.5,,2470000,,,365000,157,,2324.840764,,,,,,,,,4988000,9.5,,525052.6316,,,,,,,,,,,,,,,,,,,,,,,,,,2829000,3619000,52,40.64879801,69596.15385,92000,2576000,32200000,350,28,92000,,,3932000,5.5,,714909.0909
1889,,,,,,,,,25833000,10.9,,2370000,,,336000,140,,2400,,,,,,,,,5691000,10.5,,542000,,,,,,,,,,,,,,,,,,,,,,,,,,2446000,3128000,43,33.62468031,72744.18605,97000,4001000,36375000,375,41.24742268,97000,,,4672000,6.4,,730000
